,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Content views,Website content views,Checkouts Initiated,Website checkouts initiated,Adds of payment info,Website adds of payment info,Purchase ROAS (return on ad spend),Website purchase ROAS (return on ad spend),Purchases,Website purchases,Date created,Date last edited,Objective,Bid,Bid type,Reporting starts,Reporting ends,Starts
112543,AD01_IMG_T2_Black,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1217,1.146261,26.41,5,Daily,26.41,מתמשך,1395,18.9319,22.0,1.200455,1.577061,28,2.007168,0.943214,20.0,77.0,77.0,1.0,1.0,1.0,1.0,2.090117,2.090117,1.0,1.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
112735,AD07_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1870,1.26738,75.6,20,Daily,75.6,מתמשך,2370,31.898734,56.0,1.35,2.362869,84,3.544304,0.9,41.0,14.0,14.0,1.0,1.0,1.0,1.0,2.412698,2.412698,1.0,1.0,2022-01-05,2022-01-22,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
112767,AD06_IMG_T4_Yellow,inactive,7-day click or 1-day view,4.0,actions:offsite_conversion.fb_pixel_purchase,5380,1.169145,30.87,20,Daily,123.48,מתמשך,6290,19.631161,109.0,1.132844,1.732909,143,2.27345,0.863497,91.0,46.0,46.0,4.0,4.0,4.0,4.0,5.545837,5.545837,4.0,4.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
112768,AD07_Video_T4,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1925,1.261818,28.085,20,Daily,56.17,מתמשך,2429,23.124743,78.0,0.720128,3.211198,120,4.940305,0.468083,46.0,12.0,12.0,2.0,2.0,2.0,2.0,5.511839,5.511839,2.0,2.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
112831,AD01_IMG_T2_Black,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1941,1.19423,32.52,20,Daily,32.52,מתמשך,2318,14.029336,30.0,1.084,1.294219,35,1.509922,0.929143,22.0,17.0,17.0,1.0,1.0,1.0,1.0,1.697417,1.697417,1.0,1.0,2022-01-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
112896,AD07_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,777,1.16731,29.13,5,Daily,29.13,מתמשך,907,32.116869,32.0,0.910313,3.528115,43,4.740904,0.677442,19.0,38.0,38.0,2.0,2.0,1.0,1.0,1.894954,1.894954,1.0,1.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
112926,AD06_IMG_T4_Yellow,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1629,1.248619,50.65,20,Daily,50.65,מתמשך,2034,24.901672,31.0,1.633871,1.52409,38,1.86824,1.332895,24.0,7.0,7.0,1.0,1.0,1.0,1.0,1.287266,1.287266,1.0,1.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
113144,AD07_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,596,1.228188,20.18,20,Daily,20.18,מתמשך,732,27.568306,26.0,0.776154,3.551913,37,5.054645,0.545405,17.0,7.0,7.0,1.0,1.0,1.0,1.0,6.303271,6.303271,1.0,1.0,2022-01-05,2022-01-18,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
113175,AD01_IMG_T2_Black,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,2975,1.13042,48.66,20,Daily,48.66,מתמשך,3363,14.469224,32.0,1.520625,0.951531,42,1.248885,1.158571,24.0,23.0,23.0,1.0,1.0,1.0,1.0,2.614057,2.614057,1.0,1.0,2022-01-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
113237,AD06_IMG_T4_Yellow,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,8283,1.24001,42.305,20,Daily,84.61,מתמשך,10271,8.237757,107.0,0.790748,1.041768,158,1.538312,0.535506,86.0,42.0,42.0,3.0,3.0,2.0,2.0,6.268763,6.268763,2.0,2.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-04,2022-01-10,2022-01-05
114116,Mini Holiday NEW 3,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,124,1.459677,8.83,Using campaign budget,0,8.83,מתמשך,181,48.78453,6.0,1.471667,3.314917,7,3.867403,1.261429,4.0,10.0,10.0,1.0,1.0,1.0,1.0,13.98641,13.98641,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-16
114148,Mini Holiday NEW 2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,172,1.406977,12.81,Using campaign budget,0,12.81,מתמשך,242,52.933884,2.0,6.405,0.826446,2,0.826446,6.405,2.0,8.0,8.0,,,,,4.039813,4.039813,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-16
114180,Mini Holiday NEW 1,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,483,1.585921,36.8,Using campaign budget,0,36.8,מתמשך,766,48.041775,15.0,2.453333,1.958225,22,2.872063,1.672727,12.0,14.0,14.0,4.0,4.0,2.0,2.0,1.40625,1.40625,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-16
114276,Mini Holiday 1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1697,2.484973,75.215,Using campaign budget,0,150.43,מתמשך,4217,35.672279,32.0,4.700938,0.758833,44,1.043396,3.418864,28.0,66.0,66.0,3.0,3.0,2.0,2.0,1.136741,1.136741,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-02
114308,Mini Holiday 3,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,498,1.634538,18.78,Using campaign budget,0,37.56,מתמשך,814,46.142506,12.0,3.13,1.474201,15,1.842752,2.504,8.0,6.0,6.0,2.0,2.0,2.0,2.0,2.755591,2.755591,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-02
